,ts,fx,fy,fz,mx,my,mz,name
0,1690131743.2427077,-0.085158,-0.05744,0.074028,0.000477,-0.000475,0.001852,0
1,1690131743.2478158,-0.131746,-0.127128,0.072104,0.000963,0.000895,0.001937,0
2,1690131743.2529438,-0.107114,-0.10632699999999999,0.006196,0.0005,-0.000265,0.002005,0
3,1690131743.2570164,-0.116978,-0.078952,0.053304,2.8e-05,0.000723,0.002163,0
4,1690131743.2621274,-0.09816599999999999,-0.078369,0.033824,0.00065,0.00027,0.00257,0
5,1690131743.2672546,-0.110566,-0.10403699999999999,0.049072,0.0008709999999999999,-0.000663,0.0022819999999999997,0
6,1690131743.2723448,-0.112078,-0.098605,0.065376,0.000857,0.000839,0.0020239999999999998,0
7,1690131743.2774615,-0.11706,-0.076831,0.08614,0.000215,0.000616,0.0016259999999999998,0
8,1690131743.2825766,-0.088116,-0.047484,0.07406399999999999,0.000624,-0.00021899999999999998,0.0023639999999999998,0
9,1690131743.2876785,-0.104666,-0.07556299999999999,0.055496,0.001365,0.00011499999999999999,0.0017319999999999998,0
10,1690131743.292813,-0.118048,-0.11201699999999999,0.0364,-0.000165,0.000464,0.001966,0
11,1690131743.2968981,-0.08422199999999999,-0.094136,0.058496,0.0005989999999999999,0.0007639999999999999,0.002368,0
12,1690131743.3020105,-0.09686199999999999,-0.061829999999999996,0.065036,0.001292,0.000104,0.001176,0
13,1690131743.3071232,-0.11988599999999999,-0.077392,0.043311999999999996,0.001307,-9.7e-05,0.0019479999999999999,0
14,1690131743.312215,-0.098054,-0.078183,0.028211999999999997,0.000695,0.00032199999999999997,0.00225,0
15,1690131743.3173203,-0.07379,-0.10893499999999999,0.044544,-9.9e-05,0.0005949999999999999,0.002042,0
16,1690131743.3224285,-0.052502,-0.080262,0.09101999999999999,0.001232,-4.4999999999999996e-05,0.00171,0
17,1690131743.327528,-0.118644,-0.096772,0.017991999999999998,0.001077,-2e-06,0.0017,0
18,1690131743.332641,-0.13088,-0.087069,0.047624,0.001019,0.00086,0.001854,0
19,1690131743.3377404,-0.092154,-0.086056,0.066412,0.0007549999999999999,0.001005,0.001371,0
20,1690131743.3418314,-0.075706,-0.0807,0.10804,0.0007689999999999999,-4.4999999999999996e-05,0.00259,0
21,1690131743.3469412,-0.099312,-0.09273999999999999,0.056535999999999996,0.001037,7.599999999999999e-05,0.002631,0
22,1690131743.352052,-0.11183799999999999,-0.090969,0.03352,0.00109,0.000848,0.0019429999999999998,0
23,1690131743.3571696,-0.07990599999999999,-0.11685,0.06136,0.00023799999999999998,-0.00024099999999999998,0.002967,0
24,1690131743.3622673,-0.06616,-0.090422,0.08696,0.0010999999999999998,7.099999999999999e-05,0.0017289999999999999,0
25,1690131743.3673878,-0.114094,-0.10005399999999999,0.019216,0.00098,0.0006659999999999999,0.0025169999999999997,0
26,1690131743.3724878,-0.142322,-0.110884,-0.01914,0.00032199999999999997,0.0009329999999999999,0.0018579999999999998,0
27,1690131743.377616,-0.094342,-0.071239,0.041063999999999996,0.00034199999999999996,0.00013,0.0026379999999999997,0
28,1690131743.3816955,-0.097344,-0.060717,0.09004,0.000651,-0.000474,0.001442,0
29,1690131743.3867936,-0.11270999999999999,-0.081458,0.03676,0.000748,5.8e-05,0.00251,0
30,1690131743.3918986,-0.10119199999999999,-0.09437899999999999,0.02018,0.000918,0.000101,0.00165,0
31,1690131743.3970153,-0.10124,-0.08595499999999999,0.057392,-4e-06,0.0007369999999999999,0.001843,0
32,1690131743.402127,-0.10017,-0.088637,0.059968,0.000404,-0.000179,0.001797,0
33,1690131743.4072392,-0.094148,-0.07606199999999999,0.0218,0.000972,3.7e-05,0.002384,0
34,1690131743.4123456,-0.109264,-0.093458,0.036488,0.001148,-0.000111,0.001896,0
35,1690131743.4174693,-0.08778,-0.096103,0.079064,0.000203,0.00045799999999999997,0.00198,0
36,1690131743.4215643,-0.07467399999999999,-0.087572,0.0886,0.000891,0.000767,0.0027879999999999997,0
37,1690131743.4266534,-0.08237,-0.113634,0.01804,0.000998,-0.000468,0.002226,0
38,1690131743.4317772,-0.104946,-0.119336,0.025807999999999998,0.00074,0.000434,0.002448,0
39,1690131743.4368737,-0.095578,-0.100279,0.084904,0.000144,0.00015199999999999998,0.001709,0
40,1690131743.4419854,-0.075602,-0.06733,0.07156,0.00015999999999999999,-0.000233,0.002175,0
41,1690131743.447092,-0.10618999999999999,-0.06886099999999999,0.05876,0.0012159999999999999,0.000736,0.0023829999999999997,0
