,ts,fx,fy,fz,mx,my,mz,name
0,1690124535.729891,0.030036,0.017112,0.001792,-0.000723,-0.001369,-0.000334,0
1,1690124535.7340066,0.043036,0.0034019999999999996,0.028064,-0.00047,-0.001416,0.000707,0
2,1690124535.7391112,0.005876,0.051292,-0.027788,0.000829,-0.000701,0.000297,0
3,1690124535.744204,0.014076,6.5e-05,-0.056824,0.000269,-0.000842,-2.8e-05,0
4,1690124535.7493136,0.035656,0.036076,0.0075239999999999994,-0.000634,-0.000633,-0.000696,0
5,1690124535.7544293,0.057165999999999995,0.054882999999999994,0.030024,-8.2e-05,-0.002201,-0.000227,0
6,1690124535.7595317,0.019864,0.039714,-0.038488,0.000335,-0.00045,-7.8e-05,0
7,1690124535.76464,0.02011,-0.005854,-0.039408,-0.00075,-0.001189,-0.0006399999999999999,0
8,1690124535.7697566,0.055549999999999995,0.015789,-0.008456,-0.00048199999999999995,-0.000583,-0.000837,0
9,1690124535.7738523,0.035928,0.056891,0.036288,0.000498,-0.000828,-0.0006839999999999999,0
10,1690124535.7789721,0.014185999999999999,0.03161,-0.02316,-0.000618,-0.0010789999999999999,0.00027499999999999996,0
11,1690124535.7840726,0.02565,0.017383,-0.019528,-0.000439,-0.0007,-0.000493,0
12,1690124535.7891693,0.05554,0.018682999999999998,-0.015248,-0.000502,-0.000806,-0.000707,0
13,1690124535.7942965,0.044792,0.038258,0.024787999999999998,6e-06,-0.0014739999999999998,-0.00047799999999999996,0
14,1690124535.7993925,0.030431999999999997,-0.012435,-0.010983999999999999,-0.00036199999999999996,-0.000624,-0.000159,0
15,1690124535.8045077,-0.005098,-0.014679,-0.037944,-0.00022899999999999998,-0.00039099999999999996,-0.001415,0
16,1690124535.809612,0.035974,-0.000135,0.006624,-0.00079,-0.00029499999999999996,-0.000905,0
17,1690124535.8137307,0.045458,0.0401,0.016895999999999998,-0.000448,-0.0005329999999999999,-0.001593,0
18,1690124535.8188703,0.037135999999999995,0.033416999999999995,-0.010888,0.000669,-0.00013,-0.000739,0
19,1690124535.8239484,0.01362,-0.004193,-0.019944,0.000143,0.000168,-8e-06,0
20,1690124535.8290472,0.046236,0.017435,-0.015212,-0.0008039999999999999,-0.000772,-0.000909,0
21,1690124535.8341842,0.07518,0.06947099999999999,0.033184,0.000408,-0.001468,-0.000545,0
22,1690124535.8392844,0.030552,0.023762,-0.0321,0.000616,-0.001658,0.000477,0
23,1690124535.844373,0.026286,0.019674,-0.04324,-0.00036199999999999996,-0.000566,-0.000788,0
